,name,x,y,layer,i,j
98,6828315,4968940.001348,17402957.00135,1,244,440
99,6828404,4943127.002231,17380331.997635,1,247,414
100,6828406,4944507.005711,17388296.9994,1,242,418
101,6828407,4948871.999523001,17391914.993906,1,242,422
102,6828512,4952194.997268,17392022.999745,1,243,424
103,6828515,4956614.998776,17388267.993201997,1,248,425
104,6828516,4950790.995258,17387334.001535002,1,246,421
105,6828517,4952207.996041001,17393063.997929,1,243,425
106,6828518,4961769.002533999,17393472.00281,1,247,431
107,6828519,4959059.004022,17390394.001227,1,247,428
108,6828608,4971681.997664,17395463.001222,1,250,438
109,6828609,4964211.999996,17395545.99602,1,246,433
110,6828909,4968250.001223001,17368007.997667,1,265,424
111,6828920,4972785.999936,17380636.998655,1,259,432
112,6828921,4963853.99866,17366837.002013,1,264,421
113,6829112,4982219.996356,17401876.996979002,1,250,447
114,6829113,4984033.004336,17399405.000043,1,253,447
115,6829114,4987988.998117,17398876.996496,1,255,450
116,6829213,4991074.000495,17396498.994335998,1,257,450
117,6829214,4998786.003977,17398141.001439,1,260,456
118,6829215,4994977.996157,17399851.998139,1,257,454
119,6829216,4993479.000845999,17406474.995237,1,252,456
120,6829217,4994974.997407,17403678.003347002,1,255,456
121,6829305,5011192.998943,17403404.004795,1,262,466
122,6829418,4986371.004299,17395572.001841,1,256,447
123,6829506,4995375.003697,17392925.999639,1,262,452
124,6829605,5011994.0020550005,17384217.000869,1,274,458
125,6829611,5012483.001944,17390079.000296,1,271,461
126,6829701,4987650.000407,17379239.004733,1,267,441
127,6829925,5008909.004756,17371858.9999,1,281,451
128,6830208,5033088.996811,17406454.999351002,1,270,481
129,6830211,5030388.999830999,17404497.994351,1,270,478
130,6830225,5037922.004248001,17410193.998971,1,269,485
131,6830226,5033832.000422,17408257.997187,1,269,482
132,6830312,5044386.994249,17407571.001093,1,274,488
133,6830314,5052908.003801,17403997.000726,1,280,492
134,6830315,5042501.0017,17406154.999151003,1,274,487
135,6830807,5041015.997797,17375480.994952,1,292,472
136,6831403,5061887.000645,17393365.996324,1,290,493
137,6831511,5070558.001366001,17383635.997647,1,300,494
138,6831808,5076434.002706,17372809.003864,1,309,493
139,6833102,4829444.000658999,17353708.001434,1,214,332
140,6833213,4837240.998301,17360763.998135,1,213,339
141,6833604,4853222.000523999,17335688.001757,1,235,338
142,6834506,4877278.001472,17339263.99881,1,244,355
143,6835106,4908548.9978370005,17358056.000568,1,245,383
144,6835202,4915867.998605,17360680.002294,1,247,388
145,6835314,4935553.995093,17357975.002283,1,257,399
146,6835315,4935553.995093,17357975.002283,1,257,399
147,6836103,4944431.999766001,17360817.996205,1,259,406
148,6836107,4941171.004884,17360867.999347,1,258,404
149,6836132,4946075.998613,17363368.998811,1,258,408
150,6836206,4961270.997223999,17355267.002492998,1,270,414
151,6836512,4956138.001496,17342753.995331,1,276,405
152,6836901,4971813.996751,17333986.003411,1,288,411
153,6837103,4980561.000785,17364531.999819,1,273,430
154,6837203,4997911.004673,17358181.998454,1,284,438
155,6837304,5013454.003214,17354709.001826998,1,293,446
156,6837521,4999792.999284999,17336017.001903,1,299,430
157,6837522,4999735.003169999,17336100.997048,1,299,430
158,6837523,5003299.996034,17335504.997683,1,301,432
159,6837524,4998002.005063,17335429.001071,1,298,428
160,6837525,4998002.005063,17335429.001071,1,298,428
161,6837526,4997275.995207,17341058.002287,1,295,430
162,6837527,4997271.001569999,17341161.006079998,1,295,430
163,6837606,5004893.000139,17346296.998606,1,295,437
164,6841301,4856219.0020550005,17311261.99845,1,252,330
165,6841502,4841565.998113,17294912.997216,1,256,314
166,6842106,4864494.998623,17311219.999677,1,255,335
167,6842112,4866122.003996,17307983.997185,1,258,334
168,6842502,4874643.999148999,17295250.995464,1,270,334
169,6843402,4909127.001631,17296742.998917002,1,284,356
170,6843606,4928503.997436,17299198.999870002,1,291,369
171,6843607,4957108.003126999,17297015.001962,1,304,386
172,6849813,4838015.000447,17242149.998103,1,287,288
173,6850201,4882547.001512,17266089.005044002,1,291,326
174,6931406,4742914.005158001,17383079.000031,1,158,291
175,6931708,4743701.002318,17371712.005297,1,165,286
176,6931709,4746089.999496,17371113.999694,1,167,287
177,6931904,4776914.999076,17365979.9997,1,183,304
178,6932703,4782590.996772001,17375837.996866,1,180,312
179,6935602,4606359.996732,17342710.997835,1,124,188
180,6935804,4594700.99509,17323958.998471,1,130,173
181,6936402,4624117.002324,17332950.001609,1,137,195
182,6936601,4653758.001207,17335510.000725,1,149,215
183,6937301,4695676.004136,17350662.998054,1,158,247
184,6937402,4667401.999163,17345646.001463,1,148,227
185,6938509,4717600.003047,17342492.999724,1,172,257
186,6938601,4727723.00072,17340609.006294,1,178,263
187,6938902,4729968.995175,17318965.001829002,1,192,255
188,6938906,4733862.003537,17322481.000944,1,192,259
189,6939504,4755839.002038,17345338.001195002,1,187,282
190,6939505,4753335.998583999,17344756.004476998,1,186,280
191,6939801,4758786.998312,17322620.998982,1,202,274
192,6939901,4769046.00504,17321223.998891,1,208,280
193,6940101,4777978.00489,17360904.000754002,1,187,303
194,6940102,4780521.99897,17349225.002932,1,195,299
195,6940202,4794220.99771,17351520.001633998,1,200,309
196,6940209,4796306.000132,17355780.002306,1,198,312
197,6940404,4779126.000421,17339303.99751,1,201,294
198,6940510,4795773.998022,17336758.998839002,1,210,303
199,6940901,4817659.999956,17330701.99753,1,223,314
200,6942601,4579290.002308,17294965.000976,1,142,151
201,6942709,4543662.005272,17279831.998914998,1,135,122
202,6943202,4596879.003522,17310805.999879003,1,139,169
203,6943204,4603532.003439,17312321.99925,1,141,173
204,6943205,4602056.997383,17308277.000839002,1,143,171
205,6943207,4594807.001394,17309976.005495,1,139,167
206,6943408,4591032.996625,17300051.999002,1,144,160
207,6943409,4591063.003091,17298237.001397,1,145,160
208,6943607,4614982.000643,17299253.996206,1,154,175
209,6943903,4611723.002546,17277372.997875,1,167,163
210,6943910,4614722.999253,17271692.999135,1,171,163
211,6943917,4613042.9972169995,17271585.998753,1,171,162
212,6943920,4615046.998732,17280899.993757002,1,166,167
213,6944108,4625330.998148001,17314357.994535998,1,150,188
214,6944301,4654800.00133,17309032.995102,1,166,204
215,6944402,4629320.00201,17300619.004982002,1,160,184
216,6944703,4631745.000366,17274151.002813,1,177,174
217,6944804,4635985.994655999,17286267.000643,1,172,182
218,6944902,4657505.996809999,17278761.00234,1,186,192
219,6945401,4668681.002557,17296897.000506,1,179,207
220,6946601,4729414.001967,17301904.004272,1,202,247
